actor_id,first_name,last_name,gender
3,Eloy,'Chincheta',M
4,Dieguito,'El Cigala',M
9,José,'El Morito',M
10,Francisco,'El Niño de la Manola',M
11,Víctor,'El Payaso',M
12,Antonio,'El Pescaíto',M
13,Luis,'El Plojo',M
15,Antonio,'El Rilete',M
20,Tony,'La Chispa',M
25,Jacob,'The Jeweler',M
32,Angel,11:11,M
33,Nick,13,M
38,André,3000,M
40,Articolo,31,M
41,Rappin',4-Tay,M
43,Mick,5,M
77,Olaf,Aabye,M
79,Argo,Aadli,M
80,Per,Aaeng,M
86,Sebastian,Aagaard-Williams,M
93,Kim Fupz,Aakeson,M
94,Steve,Aalam,M
115,Remu,Aaltonen,M
116,Risto,Aaltonen,M
125,Thor Michael,Aamodt,M
128,Peter,Aanensen,M
137,Ott,Aardam,M
142,Lasse,Aarestrup,M
144,Jeffrey,Aarles,M
146,Douglas,Aarniokoski,M
151,Chad,Aaron,M
153,Chuck,Aaron,M
158,Hank,Aaron,M
161,James (II),Aaron,M
162,Jeff,Aaron,M
163,Joe (II),Aaron,M
167,Nicholas,Aaron,M
176,Travis,Aaron,M
186,Scott,Aaronson,M
192,Daniel,Aarsman,M
198,Sjors,Aarts,M
215,Jay,Aaseng,M
218,Aaron,Aash,M
223,Derek,Aasland,M
228,Evald,Aavik,M
235,Manon,Abacjodze,M
248,Nabil,Abada,M
249,Ignasi,Abadal,M
265,William,Abadie,M
272,Alexander,Abadzis,M
275,Frank,Abagnale Jr.,M
284,Gali,Abajdulov,M
305,Erwin,Abarico,M
326,Roland T.,Abasolo,M
331,Diego,Abatantuono,M
337,Tony,Abatemarco,M
341,Paul Vito,Abato,M
351,Fekry,Abaza,M
354,Refet,Abazi,M
358,Franco,Abba,M
361,Alex,Abbad,M
362,Pete,Abbadessa,M
368,Mohammed,Abbar,M
373,Gassan,Abbas,M
379,S.K.,Abbas,M
391,Joe,Abbate,M
394,Roberto,Abbati,M
395,Stefano,Abbati,M
399,Jeff,Abbaté,M
413,Lucien,Abbet,M
421,Tony Arunah,Abbey,M
445,Brian (I),Abbott,M
447,Bruce (I),Abbott,M
451,Dan,Abbott,M
452,David (I),Abbott,M
454,David (V),Abbott,M
467,Greg,Abbott,M
476,Jason,Abbott,M
478,Jesse,Abbott,M
492,Mike (II),Abbott,M
508,Roger,Abbott,M
510,Steve (II),Abbott,M
511,Steve (III),Abbott,M
518,Damien,Abbou,M
520,Patrice,Abbou,M
524,Nor-eddin,Abboud,M
525,Dino,Abbrescia,M
529,Nakib,Abdagic,M
532,José,Abdala,M
533,Lousnak,Abdalian,M
543,Salah,Abdallah,M
556,A.,Abdel Hadi,M
560,Shabaan,Abdel Rehim,M
561,Fathy,Abdel Wahab,M
564,Zaki,Abdel Wahab,M
573,Azouz,Abdelaziz,M
575,Yacine,Abdeldjebar,M
577,Hassan,Abdelgani,M
583,Kamel,Abdeli,M
593,Lotfi,Abdelli,M
594,Rachid,Abdellouche,M
609,Ilham,Abdelwahed,M
