movie_id,name,year,rank
31,$pent,2000,4.3
33,$windle,2002,5.4
36,'15',2002,6.8
329,*Corpus Callosum,2002,4.9
408,...ing,2003,7.3
417,...Lost,2000,6.0
428,...Or Forever Hold Your Peace,2000,6.9
455,...und das ist erst der Anfang,2000,5.9
499,...ya no puede caminar.,2001,7.3
509,.com for Murder,2002,3.6
563,1 Giant Leap,2002,6.4
572,1 na 1,2002,5.9
585,"1,99 - Um Supermercado Que Vende Palavras",2003,4.9
610,10 Attitudes,2001,1.7
628,10 minuta,2002,8.0
634,10 on Ten,2004,5.8
676,100 Days,2001,6.4
682,100 Girls,2000,5.8
707,100 Mile Rule,2002,5.6
709,100 minuta slave,2004,6.8
713,100 Pro,2001,5.2
869,101 Rent Boys,2000,6.1
870,101 Reykjavk,2000,6.9
875,101-vy kilometer,2001,5.8
880,102 Dalmatians,2000,4.7
893,10:10,2000,6.1
898,10e chambre - Instants d'audience,2004,7.1
907,"11 commandements, Les",2004,5.0
921,11'09''01 - September 11,2002,6.9
953,11:11,2004,4.7
955,11:14,2003,7.2
965,12 (2003/I),2003,6.0
966,12 (2003/II),2003,9.8
979,12 horas,2001,5.5
980,12 Hot Women,2003,4.7
1020,12:35,2002,8.2
1026,13 Dead Men,2003,2.0
1029,13 Erotic Ghosts,2002,3.1
1038,13 Going On 30,2004,6.3
1040,13 kaidan,2003,6.1
1046,13 Moons,2002,5.8
1072,13th Child,2002,4.2
1075,"13th House, The",2003,5.5
1091,"13th Sign, The",2000,4.1
1100,14 Million Dreams,2003,9.5
1104,"14 tula, songkram prachachon",2001,6.8
1130,15,2003,6.1
1135,15 aot,2001,6.0
1138,15 das,2000,8.3
1140,15 fvrier 1839,2001,7.6
1145,15 Minutes,2001,6.1
1160,15-Sai: Gakko IV,2000,6.5
1161,15.35: spoor 1,2003,5.2
1178,16 December,2002,7.2
1199,17 rue Bleue,2001,5.7
1218,"17th Man, The",2004,8.3
1293,18 ans aprs,2003,5.0
1311,18-j,2004,5.4
1351,19,2000,6.8
1361,19 Months,2002,5.0
1416,1974,2000,4.7
1519,2 Birds with 1 Stallone,2003,1.8
1529,2 Fast 2 Furious,2003,5.2
1535,2 G's & a Key,2000,4.4
1547,2 minutter,2001,6.6
1577,2 ryk og 1 aflevering,2003,5.5
1595,2+1,2004,9.2
1601,2. juledag,2000,5.5
1607,20 : 30 : 40,2004,7.6
1663,200 American,2003,3.9
1684,2000 Nordestes,2000,7.9
1712,2001: A Space Travesty,2000,2.5
1715,2002 (2001/I),2001,6.1
1750,2009 Lost Memories,2002,6.6
1759,2046,2004,8.5
1766,20h17 rue Darling,2003,6.1
1784,21,2000,6.5
1787,21 Grams,2003,8.0
1844,23rd March 1931: Shaheed,2002,5.7
1847,24,2001,9.0
1848,24,2002,7.2
1853,24 chasa,2000,6.6
1857,24 heures de la vie d'une femme,2002,5.9
1868,24 Hour Party People,2002,7.2
1874,24 Hours in London,2000,3.6
1900,24/24,2001,7.4
1921,2424,2002,4.2
1925,24fps,2000,4.7
1930,"24th Day, The",2004,6.6
1938,25 degrs en hiver,2004,6.6
1946,25 Kids and a Dad,2002,6.4
1950,25 Watts,2001,6.8
1965,25th Hour,2002,7.8
1987,27 Missing Kisses,2000,6.6
1999,28 Days,2000,6.0
