actor_id,movie_id,role
3,376687,Gitano 1
4,336265,El Cigala
9,336265,Amigo Cigala #2
10,12148,Segundo Cuadro Flamenco 'Tang
11,80189,Chavo Banda Galerias
12,12148,Tercer Cuadro Flamenco 'Solea
13,80189,Froilán plaza del estudiante
15,12148,Cuarto Cuadro Flamenco 'Taran
20,274679,Real LAPD Officer
25,313951,Eli
32,36712,Angel
32,375827,Funky Loft Guest
33,192542,Reporter
38,147745,Silk Brown
38,362060,Kim Kyeong-su (MTV English Du
40,102366,
40,148874,Themselves
41,31906,Himself
41,341805,Himself
43,32596,Himself
43,32597,Himself
77,240089,Tekniker
79,232749,Konsap
80,58684,Mechanic
86,225683,Svend
93,291686,Patient
94,163496,Managers assistant
94,210286,Carlos
94,284138,Tommy
115,324482,Costume designer
116,100011,Paakkila
116,153095,Sakari Urpela
125,240113,
128,27210,Arthur Ferris
128,72464,Edgar
137,232749,Kohlapuu
142,134256,Bondedreng
144,303533,Flic USA 1
144,313562,
146,145050,Kirk
151,45652,Hank Bartlowski at 13
151,370648,Bernard Stoltz
153,330550,Helicopter Pilot
158,167615,Himself (MLB
158,318692,Hank Aaron
161,123371,Renfro
162,343201,Best Man
163,72709,Finnegan Jones
167,90342,Deputy Jebb McQuarrie
167,336764,Simon Yates
176,193202,Terry
186,115869,Security Guard
186,326620,Waiter in Trouble
192,142491,Kid
198,356555,Voorbijganger
215,51639,Sir Chug-a-Lot
218,321466,Striker
223,119879,Stoned Man #1
223,272661,Jon Fontana
223,276240,Featured Graveyard Undead #1/
223,304243,Sullivan
223,348608,P.A. Kevin
228,308266,Gottfried
235,83037,Postière 1
248,355808,Le petit garçon du cortège
249,236458,Vidal Gandolfo
265,346892,Passerby
272,132139,Man in Crowd #7
275,56871,French Policeman
284,303789,Japanese Ambassador
305,269841,L'arc en Ciel Band
326,138669,Mafia Guy Applicant
326,171227,Lederhosen
331,14564,Sandro
331,69141,Umberto
331,162053,Sergio
331,205488,Alberto Brogini
331,212094,Paolo Torregiani
331,217609,Voice
331,279243,Franco Mattioli
337,11426,Dr. David Wyckoff
337,24137,Maitre D'
337,46529,Sam
337,65754,Administrator
